,Order_Count,Tip_Rate_Mean,Tip_Rate_Sum,Job_Num,Stock_Price_Change_,Stock_Change_Rate,Stock_Mean_Price,Stock_MinMax_Range
Bank of America(investment banking),172,0.15827588966508407,27.22345302239446,372,-5.45068359375,-0.036764665017065164,142.16981361025856,13.001235961914062
Barclays(Investment Bank),339,0.15848780544736768,53.72736604665764,169,-1.9470806121826172,-0.12687415039437236,14.363318715776716,2.1152381896972656
BNY Mellon (headquarters),8,0.14280328853395663,1.142426308271653,175,0.60888671875,0.009046770060051836,66.83824085053944,3.7532577514648438
Citigroup(global markets),470,0.1509764007156288,70.95890833634553,616,1.009664535522461,0.0767776965472699,13.542613438197545,1.1503591537475586
Credit Suisse,1261,0.15000447468720096,189.1556425805604,7,-3.5703201293945312,-0.07148809422877186,47.24313735961914,4.854301452636719
Deutsche Bank,690,0.15584607903082773,107.53379453127114,13,-0.15313339233398438,-0.005720237590138842,26.0050174168178,2.52178955078125
Goldman Sachs(headquarters),25,0.16439536329931773,4.109884082482943,234,-1.1775588989257812,-0.03864822242465794,29.23143840971447,1.9704303741455078
JPMorgan Chase(headquarters),165,0.15782799223827648,26.04161871931562,1325,0.0970611572265625,0.00230130904362719,41.980705079578215,2.3999977111816406
Morgan Stanley(headquarters),305,0.15418367245206957,47.026020097881215,265,-0.8730411529541016,-0.035039713206004575,24.17503447759719,1.4424095153808594
RBC Capital Markets ,9,0.16062610229276897,1.4456349206349206,60,-1.6052360534667969,-0.04011330020005985,38.63997177850632,2.4689292907714844
UBS(USA)Inc(Private wealth management),33,0.15472433145783246,5.105902938108471,68,-0.19022369384765625,-0.011347500300379024,16.234711011250813,1.0224533081054688
